particle_count,seed,mean_free_path,knudsen_number,regime,total_particle_collisions,total_wall_collisions,free_path_samples,initial_energy,final_energy,relative_energy_drift
100,1,2.135341957123373,0.2847122609497831,transition,139,93,135,100.00000000000001,99.99999999999997,4.2632564145606005e-16
100,2,2.429414802922313,0.3239219737229751,transition,136,114,119,100.00000000000003,100.0,2.8421709430404e-16
100,3,2.760091591839408,0.36801221224525443,transition,107,97,86,99.99999999999999,99.99999999999999,0.0
100,4,2.6717698216423336,0.3562359762189778,transition,124,89,89,100.00000000000001,100.00000000000001,0.0
100,5,2.8745711173362993,0.38327614897817325,transition,108,102,61,100.0,100.00000000000003,2.842170943040401e-16
200,1,1.8453275997194247,0.24604367996258997,transition,490,208,536,200.0,199.99999999999994,2.842170943040401e-16
200,2,1.8914800665959395,0.25219734221279194,transition,493,219,550,200.00000000000003,200.0,1.4210854715202002e-16
200,3,1.87437866527982,0.24991715537064266,transition,480,212,545,199.99999999999997,199.99999999999997,0.0
200,4,1.8431043828730593,0.24574725104974124,transition,467,197,514,200.0,200.00000000000003,1.4210854715202004e-16
200,5,1.8477365087719873,0.24636486783626496,transition,489,192,523,200.00000000000006,200.0,2.8421709430404e-16
400,1,1.1086564974144109,0.14782086632192146,transition,1995,430,2534,400.0,400.0,0.0
400,2,1.0439000776844676,0.13918667702459567,transition,2101,377,2719,400.0,400.0,0.0
400,3,1.093706629242125,0.14582755056561666,transition,2066,388,2707,399.9999999999999,400.0,2.842170943040402e-16
400,4,1.0559258973406163,0.1407901196454155,transition,2047,411,2701,400.0,399.99999999999994,1.4210854715202004e-16
400,5,1.0568449625744183,0.1409126616765891,transition,1999,409,2688,400.0,400.0,0.0
800,1,0.5346527119210331,0.07128702825613775,slip,8781,896,12413,799.9999999999998,799.9999999999998,0.0
800,2,0.5470111042391544,0.07293481389855393,slip,8773,914,12218,800.0,800.0,0.0
800,3,0.5480026394507614,0.07306701859343485,slip,8619,867,12235,799.9999999999999,799.9999999999998,1.4210854715202006e-16
800,4,0.546604369685925,0.07288058262479,slip,8708,910,12328,800.0,799.9999999999999,1.4210854715202004e-16
800,5,0.5466479277054191,0.07288639036072256,slip,8759,905,12182,799.9999999999999,799.9999999999999,0.0
