y,ux
2.0000000000e-01,6.9095091648e-02
6.0000000000e-01,3.7280794765e-01
1.0000000000e+00,4.2373915203e-01
1.4000000000e+00,1.1966987632e-01
1.8000000000e+00,-9.6168376203e-02
2.2000000000e+00,-3.2888208838e-01
2.6000000000e+00,-2.6620528340e-01
3.0000000000e+00,-9.4719362170e-02
3.4000000000e+00,-2.8547245751e-01
3.8000000000e+00,-2.4431174064e-02
4.2000000000e+00,-5.8168036178e-02
4.6000000000e+00,-3.3077380213e-01
5.0000000000e+00,1.3258276459e-01
5.4000000000e+00,5.2081237348e-02
5.8000000000e+00,3.8451689222e-04
