y,ux
2.5000000000e-01,5.8244310420e-01
7.5000000000e-01,6.1208415833e-01
1.2500000000e+00,-1.1479803296e+00
1.7500000000e+00,1.1910497644e+00
2.2500000000e+00,-1.1658070300e+00
2.7500000000e+00,1.5792299742e-01
3.2500000000e+00,nan
3.7500000000e+00,3.0371529997e-01
4.2500000000e+00,7.0323042597e-01
4.7500000000e+00,2.2553730269e-01
5.2500000000e+00,6.6642391128e-01
5.7500000000e+00,1.9186881795e-01
6.2500000000e+00,-8.3579825852e-01
6.7500000000e+00,1.3356477640e+00
7.2500000000e+00,2.6123503191e-02
7.7500000000e+00,-3.5110779351e-01
8.2500000000e+00,nan
8.7500000000e+00,nan
9.2500000000e+00,nan
9.7500000000e+00,nan
1.0250000000e+01,-1.6511442585e+00
1.0750000000e+01,2.0725346267e-01
1.1250000000e+01,8.5035850242e-02
1.1750000000e+01,-2.3587389962e-01
1.2250000000e+01,6.8947668605e-02
1.2750000000e+01,nan
1.3250000000e+01,-3.6217797506e-01
1.3750000000e+01,-1.9973897373e-01
1.4250000000e+01,5.5237802865e-01
1.4750000000e+01,nan
