y,ux
2.0000000000e-01,4.0677094832e-02
6.0000000000e-01,1.3361459724e-01
1.0000000000e+00,3.7596863065e-01
1.4000000000e+00,1.2356978930e-01
1.8000000000e+00,-1.1150561297e-01
2.2000000000e+00,-2.4275084642e-01
2.6000000000e+00,-1.7423577566e-01
3.0000000000e+00,1.2640272654e-01
3.4000000000e+00,-1.5940943294e-01
3.8000000000e+00,5.7656625818e-02
4.2000000000e+00,1.3623401329e-02
4.6000000000e+00,1.0849256549e-02
5.0000000000e+00,2.4713479390e-01
5.4000000000e+00,1.6101951790e-01
5.8000000000e+00,-3.4648699105e-01
